market_hash_name,normal_count_sample,normal_floor_usd,normal_second_floor_usd,normal_median_10_usd,lf_0.01_count_sample,lf_0.01_floor_usd,lf_0.01_premium_pct,lf_0.01_best_float,lf_0.01_best_url,lf_0.005_count_sample,lf_0.005_floor_usd,lf_0.005_premium_pct,lf_0.005_best_float,lf_0.005_best_url,lf_0.001_count_sample,lf_0.001_floor_usd,lf_0.001_premium_pct,lf_0.001_best_float,lf_0.001_best_url,risk_flags
Desert Eagle | Mecha Industries (Factory New),20,19.0,19.49,19.92,20,35.0,84.2,0.008260289207100868,https://csfloat.com/item/992425793189708647,20,35.83,88.6,0.0033456163946539164,https://csfloat.com/item/991696745920595014,11,40.56,113.5,0.0009421773138456047,https://csfloat.com/item/986774271818859497,
Desert Eagle | Conspiracy (Factory New),20,24.97,25.07,25.82,20,41.3,65.4,0.008198006078600883,https://csfloat.com/item/992148668322809819,20,47.0,88.2,0.0020256219431757927,https://csfloat.com/item/991935858905056119,12,74.25,197.4,0.0006350812618620694,https://csfloat.com/item/977546934057307398,
AK-47 | Slate (Factory New),20,17.74,18.2,18.25,20,23.2,30.8,0.009805108420550823,https://csfloat.com/item/992353304656871795,20,24.0,35.3,0.0024586215149611235,https://csfloat.com/item/992354999021470686,20,45.99,159.2,0.0007945616962388158,https://csfloat.com/item/986576874337603042,
AK-47 | Redline (Field-Tested),20,28.99,29.1,29.46,0,,,,,0,,,,,0,,,,,NO_LOW_FLOAT_0.01_LISTINGS
AWP | Atheris (Factory New),20,58.02,59.99,61.44,20,61.11,5.3,0.008763613179326057,https://csfloat.com/item/988531610695634764,20,63.85,10.0,0.001354975625872612,https://csfloat.com/item/989857385801714450,20,80.0,37.9,0.0005457159131765366,https://csfloat.com/item/989184418809777870,
AWP | Neo-Noir (Factory New),20,53.56,55.69,56.52,20,114.14,113.1,0.006381289567798376,https://csfloat.com/item/992024463627390580,15,191.99,258.5,0.003006557235494256,https://csfloat.com/item/990418585706955340,13,195.0,264.1,0.0005203972687013447,https://csfloat.com/item/990533863346408849,
M4A1-S | Decimator (Factory New),20,56.0,56.8,59.78,20,69.45,24.0,0.007307669147849083,https://csfloat.com/item/979374599399670068,20,71.7,28.0,0.004902023356407881,https://csfloat.com/item/987342819276490632,10,110.0,96.4,0.0005081166746094823,https://csfloat.com/item/991351720007304709,
M4A4 | In Living Color (Factory New),20,109.97,110.55,120.0,20,221.63,101.5,0.006055631674826145,https://csfloat.com/item/987213668024454122,13,278.0,152.8,0.004758157767355442,https://csfloat.com/item/979013873141156849,5,360.0,227.4,0.0009844610467553139,https://csfloat.com/item/962015406955038367,
USP-S | Cortex (Factory New),20,32.99,33.54,33.67,20,42.0,27.3,0.005864806938916445,https://csfloat.com/item/991427190946138850,20,44.95,36.3,0.002744005061686039,https://csfloat.com/item/992421863613401159,12,58.75,78.1,0.0007920371135696769,https://csfloat.com/item/985870615766499849,
Glock-18 | Vogue (Factory New),20,17.47,17.76,17.98,20,35.49,103.1,0.005541534163057804,https://csfloat.com/item/992422150822561895,20,36.03,106.2,0.004688030108809471,https://csfloat.com/item/992431442682317265,19,40.0,129.0,0.0007685875752940774,https://csfloat.com/item/979135955258705132,
